% Magnetic field model coefficients
% nmax:  65
% epoch: 2015.5900
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
   20     4              -0.1470               0.0000               0.0000
   20     5               0.3565               0.0000               0.0000
   20     6               0.1982               0.0000               0.0000
   20     7              -0.0994               0.0000               0.0000
   20     8              -0.0221               0.0000               0.0000
   20     9               0.0566               0.0000               0.0000
   20    10               0.0665               0.0000               0.0000
   20    11              -0.1623               0.0000               0.0000
   20    12              -0.0046               0.0000               0.0000
   20    13              -0.0746               0.0000               0.0000
   20    14               0.0799               0.0000               0.0000
   20    15              -0.0200               0.0000               0.0000
   20    16               0.0132               0.0000               0.0000
   20    17              -0.0174               0.0000               0.0000
   20    18              -0.1361               0.0000               0.0000
   20    19               0.0361               0.0000               0.0000
   20    20               0.0005               0.0000               0.0000
   21   -21              -0.1404               0.0000               0.0000
   21   -20              -0.1371               0.0000               0.0000
   21   -19              -0.0118               0.0000               0.0000
   21   -18               0.0979               0.0000               0.0000
   21   -17              -0.0868               0.0000               0.0000
   21   -16              -0.1344               0.0000               0.0000
   21   -15              -0.0690               0.0000               0.0000
   21   -14              -0.0615               0.0000               0.0000
   21   -13               0.0174               0.0000               0.0000
   21   -12              -0.1986               0.0000               0.0000
   21   -11               0.0136               0.0000               0.0000
   21   -10              -0.0539               0.0000               0.0000
   21    -9              -0.1338               0.0000               0.0000
   21    -8              -0.1555               0.0000               0.0000
   21    -7              -0.1114               0.0000               0.0000
   21    -6               0.0931               0.0000               0.0000
   21    -5              -0.2420               0.0000               0.0000
   21    -4              -0.0180               0.0000               0.0000
   21    -3               0.1026               0.0000               0.0000
   21    -2              -0.0172               0.0000               0.0000
   21    -1               0.3313               0.0000               0.0000
   21     0              -0.1172               0.0000               0.0000
   21     1               0.0862               0.0000               0.0000
   21     2              -0.1036               0.0000               0.0000
   21     3               0.2212               0.0000               0.0000
   21     4              -0.0787               0.0000               0.0000
   21     5               0.1604               0.0000               0.0000
   21     6              -0.1356               0.0000               0.0000
   21     7               0.0104               0.0000               0.0000
   21     8              -0.1267               0.0000               0.0000
   21     9               0.0701               0.0000               0.0000
   21    10              -0.0993               0.0000               0.0000
   21    11               0.0859               0.0000               0.0000
   21    12              -0.0361               0.0000               0.0000
   21    13              -0.0467               0.0000               0.0000
   21    14               0.0421               0.0000               0.0000
   21    15               0.0030               0.0000               0.0000
   21    16               0.0450               0.0000               0.0000
   21    17              -0.0694               0.0000               0.0000
   21    18              -0.0697               0.0000               0.0000
   21    19               0.0234               0.0000               0.0000
   21    20               0.2081               0.0000               0.0000
   21    21               0.2181               0.0000               0.0000
   22   -22               0.0188               0.0000               0.0000
   22   -21               0.0714               0.0000               0.0000
   22   -20               0.0463               0.0000               0.0000
   22   -19               0.0145               0.0000               0.0000
   22   -18              -0.0012               0.0000               0.0000
   22   -17               0.0355               0.0000               0.0000
   22   -16              -0.1218               0.0000               0.0000
   22   -15              -0.1658               0.0000               0.0000
   22   -14              -0.0400               0.0000               0.0000
   22   -13               0.0743               0.0000               0.0000
   22   -12              -0.1217               0.0000               0.0000
   22   -11              -0.2222               0.0000               0.0000
   22   -10               0.0964               0.0000               0.0000
   22    -9              -0.0255               0.0000               0.0000
   22    -8              -0.1993               0.0000               0.0000
   22    -7              -0.0162               0.0000               0.0000
   22    -6              -0.0713               0.0000               0.0000
   22    -5               0.0094               0.0000               0.0000
   22    -4               0.1699               0.0000               0.0000
   22    -3               0.3369               0.0000               0.0000
   22    -2              -0.0224               0.0000               0.0000
   22    -1               0.2203               0.0000               0.0000
   22     0               0.1629               0.0000               0.0000
   22     1              -0.0484               0.0000               0.0000
   22     2              -0.0291               0.0000               0.0000
   22     3               0.0158               0.0000               0.0000
   22     4              -0.1528               0.0000               0.0000
   22     5               0.0347               0.0000               0.0000
   22     6               0.0720               0.0000               0.0000
   22     7              -0.1834               0.0000               0.0000
   22     8               0.0200               0.0000               0.0000
   22     9              -0.1430               0.0000               0.0000
   22    10               0.1951               0.0000               0.0000
   22    11              -0.0719               0.0000               0.0000
   22    12              -0.1021               0.0000               0.0000
   22    13              -0.0179               0.0000               0.0000
   22    14               0.1326               0.0000               0.0000
   22    15              -0.0753               0.0000               0.0000
   22    16               0.0813               0.0000               0.0000
   22    17              -0.0792               0.0000               0.0000
   22    18              -0.1342               0.0000               0.0000
   22    19               0.0153               0.0000               0.0000
   22    20              -0.0011               0.0000               0.0000
   22    21               0.0545               0.0000               0.0000
   22    22               0.1235               0.0000               0.0000
   23   -23               0.0898               0.0000               0.0000
   23   -22              -0.0551               0.0000               0.0000
   23   -21              -0.1651               0.0000               0.0000
   23   -20              -0.0225               0.0000               0.0000
   23   -19               0.0672               0.0000               0.0000
   23   -18               0.0194               0.0000               0.0000
   23   -17               0.0566               0.0000               0.0000
   23   -16               0.0092               0.0000               0.0000
   23   -15              -0.0308               0.0000               0.0000
   23   -14               0.2326               0.0000               0.0000
   23   -13              -0.0736               0.0000               0.0000
   23   -12              -0.0875               0.0000               0.0000
   23   -11               0.1589               0.0000               0.0000
   23   -10              -0.0341               0.0000               0.0000
   23    -9              -0.0240               0.0000               0.0000
   23    -8              -0.1186               0.0000               0.0000
   23    -7              -0.0906               0.0000               0.0000
   23    -6               0.0087               0.0000               0.0000
   23    -5               0.0421               0.0000               0.0000
   23    -4              -0.2086               0.0000               0.0000
   23    -3               0.1073               0.0000               0.0000
   23    -2               0.0380               0.0000               0.0000
   23    -1               0.2389               0.0000               0.0000
   23     0               0.1160               0.0000               0.0000
   23     1               0.1316               0.0000               0.0000
   23     2              -0.3137               0.0000               0.0000
   23     3               0.1560               0.0000               0.0000
   23     4              -0.0306               0.0000               0.0000
   23     5              -0.2186               0.0000               0.0000
   23     6              -0.0163               0.0000               0.0000
   23     7              -0.0432               0.0000               0.0000
   23     8              -0.1688               0.0000               0.0000
   23     9              -0.2153               0.0000               0.0000
   23    10               0.1718               0.0000               0.0000
   23    11               0.1363               0.0000               0.0000
   23    12               0.1725               0.0000               0.0000
   23    13              -0.2336               0.0000               0.0000
   23    14              -0.0636               0.0000               0.0000
   23    15               0.0273               0.0000               0.0000
   23    16               0.1624               0.0000               0.0000
   23    17               0.0355               0.0000               0.0000
   23    18               0.0254               0.0000               0.0000
   23    19               0.0159               0.0000               0.0000
   23    20               0.1953               0.0000               0.0000
   23    21               0.1234               0.0000               0.0000
   23    22               0.0418               0.0000               0.0000
   23    23               0.0862               0.0000               0.0000
   24   -24               0.0015               0.0000               0.0000
   24   -23               0.0026               0.0000               0.0000
   24   -22               0.0499               0.0000               0.0000
   24   -21               0.0502               0.0000               0.0000
   24   -20               0.0720               0.0000               0.0000
   24   -19               0.1133               0.0000               0.0000
   24   -18               0.0099               0.0000               0.0000
   24   -17               0.0658               0.0000               0.0000
   24   -16               0.1378               0.0000               0.0000
   24   -15               0.0132               0.0000               0.0000
   24   -14              -0.0344               0.0000               0.0000
   24   -13               0.0166               0.0000               0.0000
   24   -12               0.0523               0.0000               0.0000
   24   -11               0.1977               0.0000               0.0000
   24   -10               0.1451               0.0000               0.0000
   24    -9              -0.2205               0.0000               0.0000
   24    -8               0.1516               0.0000               0.0000
   24    -7               0.1005               0.0000               0.0000
   24    -6               0.0959               0.0000               0.0000
   24    -5               0.0809               0.0000               0.0000
   24    -4              -0.1130               0.0000               0.0000
   24    -3              -0.0117               0.0000               0.0000
   24    -2              -0.0383               0.0000               0.0000
   24    -1              -0.1024               0.0000               0.0000
   24     0               0.0994               0.0000               0.0000
